nama_pemain,klub,posisi,umur,market_value,negara,jumlah_goal,jumlah_asis,jumlah_match
Myles Lewis-Skelly,Arsenal,Bek-Kiri,19,"Rp782,17Mlyr.",Inggris,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Riccardo Calafiori,Arsenal,Bek-Kiri,23,"Rp695,27Mlyr.",Italia,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Jurriën Timber,Arsenal,Bek-Kanan,24,"Rp1.042,90Mlyr.",Belanda,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Ben White,Arsenal,Bek-Kanan,28,"Rp660,50Mlyr.",Inggris,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Martín Zubimendi,Arsenal,Gel. Bertahan,26,"Rp1.216,71Mlyr.",Spanyol,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Christian Nørgaard,Arsenal,Gel. Bertahan,31,"Rp191,20Mlyr.",Denmark,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Declan Rice,Arsenal,Gel. Tengah,26,"Rp2.085,80Mlyr.",Inggris,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Mikel Merino,Arsenal,Gel. Tengah,29,"Rp608,36Mlyr.",Spanyol,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Martin Ødegaard,Arsenal,Gel. Serang,26,"Rp1.390,53Mlyr.",Norwegia,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Eberechi Eze,Arsenal,Gel. Serang,27,"Rp1.129,81Mlyr.",Inggris,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Ethan Nwaneri,Arsenal,Gel. Serang,18,"Rp782,17Mlyr.",Inggris,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
