nama_pemain,klub,posisi,umur,market_value,negara,jumlah_goal,jumlah_asis,jumlah_match,url profile
Cristhian Mosquera,Arsenal,Bek-Tengah,21,"Rp608,36Mlyr.",Spanyol,1,0,109,https://img.a.transfermarkt.technology/portrait/header/646750-1749739359.jpg?lm=1
Myles Lewis-Skelly,Arsenal,Bek-Kiri,19,"Rp782,17Mlyr.",Inggris,6,10,95,https://img.a.transfermarkt.technology/portrait/header/890721-1758053582.jpg?lm=1
Riccardo Calafiori,Arsenal,Bek-Kiri,23,"Rp695,27Mlyr.",Italia,13,17,167,https://img.a.transfermarkt.technology/portrait/header/502821-1727382174.jpg?lm=1
Jurriën Timber,Arsenal,Bek-Kanan,24,"Rp1.042,90Mlyr.",Belanda,17,14,295,https://img.a.transfermarkt.technology/portrait/header/420243-1702413077.jpg?lm=1
Ben White,Arsenal,Bek-Kanan,28,"Rp660,50Mlyr.",Inggris,10,23,363,https://img.a.transfermarkt.technology/portrait/header/335721-1683275943.jpg?lm=1
Martín Zubimendi,Arsenal,Gel. Bertahan,26,"Rp1.216,71Mlyr.",Spanyol,16,10,297,https://img.a.transfermarkt.technology/portrait/header/423440-1684149419.jpg?lm=1
Christian Nørgaard,Arsenal,Gel. Bertahan,31,"Rp191,20Mlyr.",Denmark,31,28,392,https://img.a.transfermarkt.technology/portrait/header/148367-1699799827.jpg?lm=1
Declan Rice,Arsenal,Gel. Tengah,26,"Rp2.085,80Mlyr.",Inggris,32,38,394,https://img.a.transfermarkt.technology/portrait/header/357662-1687962936.jpg?lm=1
Mikel Merino,Arsenal,Gel. Tengah,29,"Rp608,36Mlyr.",Spanyol,46,41,398,https://img.a.transfermarkt.technology/portrait/header/338424-1716803831.jpg?lm=1
Martin Ødegaard,Arsenal,Gel. Serang,26,"Rp1.390,53Mlyr.",Norwegia,72,82,421,https://img.a.transfermarkt.technology/portrait/header/316264-1678877651.jpg?lm=1
Eberechi Eze,Arsenal,Gel. Serang,27,"Rp1.129,81Mlyr.",Inggris,66,43,315,https://img.a.transfermarkt.technology/portrait/header/479999-1761083931.jpg?lm=1
Ethan Nwaneri,Arsenal,Gel. Serang,18,"Rp782,17Mlyr.",Inggris,36,12,97,https://img.a.transfermarkt.technology/portrait/header/890719-1730794927.jpg?lm=1
Gabriel Martinelli,Arsenal,Sayap Kiri,24,"Rp782,17Mlyr.",Brasil,61,32,254,https://img.a.transfermarkt.technology/portrait/header/655488-1682689091.jpg?lm=1
Leandro Trossard,Arsenal,Sayap Kiri,30,"Rp382,40Mlyr.",Belgia,133,69,480,https://img.a.transfermarkt.technology/portrait/header/144028-1702412939.jpg?lm=1
Bukayo Saka,Arsenal,Sayap Kanan,24,"Rp2.433,43Mlyr.",Inggris,95,86,325,https://img.a.transfermarkt.technology/portrait/header/433177-1684155052.jpg?lm=1
Noni Madueke,Arsenal,Sayap Kanan,23,"Rp869,08Mlyr.",Inggris,58,36,223,https://img.a.transfermarkt.technology/portrait/header/503987-1683102348.jpg?lm=1
Viktor Gyökeres,Arsenal,Depan-Tengah,27,"Rp1.303,62Mlyr.",Swedia,225,65,407,https://img.a.transfermarkt.technology/portrait/header/325443-1737581896.jpg?lm=1
Kai Havertz,Arsenal,Depan-Tengah,26,"Rp1.042,90Mlyr.",Jerman,135,64,442,https://img.a.transfermarkt.technology/portrait/header/309400-1683903902.jpg?lm=1
Gabriel Jesus,Arsenal,Depan-Tengah,28,"Rp434,54Mlyr.",Brasil,73,171,415,https://img.a.transfermarkt.technology/portrait/header/363205-1669711141.jpg?lm=1
Gianluigi Donnarumma,Manchester City,Kiper,26,"Rp695,27Mlyr.",Italia,0,0,430,https://img.a.transfermarkt.technology/portrait/header/315858-1761076746.jpg?lm=1
James Trafford,Manchester City,Kiper,23,"Rp521,45Mlyr.",Inggris,0,0,185,https://img.a.transfermarkt.technology/portrait/header/566799-1689876147.jpg?lm=1
Stefan Ortega,Manchester City,Kiper,32,"Rp104,29Mlyr.",Jerman,1,0,402,https://img.a.transfermarkt.technology/portrait/header/85941-1668065114.jpg?lm=1
Marcus Bettinelli,Manchester City,Kiper,33,"Rp10,43Mlyr.",Inggris,0,0,257,https://img.a.transfermarkt.technology/portrait/header/116648-1700671752.jpg?lm=1
Josko Gvardiol,Manchester City,Bek-Tengah,23,"Rp1.303,62Mlyr.",Kroasia,20,14,261,https://img.a.transfermarkt.technology/portrait/header/475959-1713391602.jpg?lm=1
Rúben Dias,Manchester City,Bek-Tengah,28,"Rp1.042,90Mlyr.",Portugal,17,13,444,https://img.a.transfermarkt.technology/portrait/header/258004-1684921271.jpg?lm=1
Abdukodir Khusanov,Manchester City,Bek-Tengah,21,"Rp608,36Mlyr.",Uzbekistan,5,5,84,https://img.a.transfermarkt.technology/portrait/header/763079-1740493347.jpg?lm=1
John Stones,Manchester City,Bek-Tengah,31,"Rp382,40Mlyr.",Inggris,21,10,419,https://img.a.transfermarkt.technology/portrait/header/186590-1684764261.jpg?lm=1
Nathan Aké,Manchester City,Bek-Tengah,30,"Rp382,40Mlyr.",Belanda,26,15,374,https://img.a.transfermarkt.technology/portrait/header/177476-1666733797.jpg?lm=1
Rayan Aït-Nouri,Manchester City,Bek-Kiri,24,"Rp695,27Mlyr.",Aljazair,12,24,196,https://img.a.transfermarkt.technology/portrait/header/578391-1761076429.jpg?lm=1
Nico O'Reilly,Manchester City,Bek-Kiri,20,"Rp521,45Mlyr.",Inggris,34,24,116,https://img.a.transfermarkt.technology/portrait/header/743413-1751367149.jpg?lm=1
Rico Lewis,Manchester City,Bek-Kanan,20,"Rp695,27Mlyr.",Inggris,10,14,147,https://img.a.transfermarkt.technology/portrait/header/701057-1684856684.jpg?lm=1
Matheus Nunes,Manchester City,Bek-Kanan,27,"Rp608,36Mlyr.",Portugal,17,32,265,https://img.a.transfermarkt.technology/portrait/header/601883-1761076097.jpg?lm=1
Rodri,Manchester City,Gel. Bertahan,29,"Rp1.564,35Mlyr.",Spanyol,33,40,448,https://img.a.transfermarkt.technology/portrait/header/357565-1682587890.jpg?lm=1
Nico González,Manchester City,Gel. Bertahan,23,"Rp695,27Mlyr.",Spanyol,16,15,200,https://img.a.transfermarkt.technology/portrait/header/466805-1743669968.jpg?lm=1
Kalvin Phillips,Manchester City,Gel. Bertahan,29,"Rp173,82Mlyr.",Inggris,16,14,299,https://img.a.transfermarkt.technology/portrait/header/351749-1661978510.jpg?lm=1
Tijjani Reijnders,Manchester City,Gel. Tengah,27,"Rp1.216,71Mlyr.",Belanda,55,43,373,https://img.a.transfermarkt.technology/portrait/header/460939-1676466080.jpg?lm=1
Mateo Kovacic,Manchester City,Gel. Tengah,31,"Rp347,63Mlyr.",Kroasia,34,49,581,https://img.a.transfermarkt.technology/portrait/header/51471-1682668192.jpg?lm=1
Bernardo Silva,Manchester City,Gel. Serang,31,"Rp556,21Mlyr.",Portugal,108,100,606,https://img.a.transfermarkt.technology/portrait/header/241641-1684311533.jpg?lm=1
Jérémy Doku,Manchester City,Sayap Kiri,23,"Rp955,99Mlyr.",Belgia,33,41,228,https://img.a.transfermarkt.technology/portrait/header/486049-1743670159.jpg?lm=1
Savinho,Manchester City,Sayap Kiri,21,"Rp869,08Mlyr.",Brasil,19,29,152,https://img.a.transfermarkt.technology/portrait/header/743591-1751367497.jpg?lm=1
Phil Foden,Manchester City,Sayap Kanan,25,"Rp1.390,53Mlyr.",Inggris,123,76,370,https://img.a.transfermarkt.technology/portrait/header/406635-1668524492.jpg?lm=1
Rayan Cherki,Manchester City,Sayap Kanan,22,"Rp782,17Mlyr.",Prancis,42,48,220,https://img.a.transfermarkt.technology/portrait/header/607223-1672831487.jpg?lm=1
Oscar Bobb,Manchester City,Sayap Kanan,22,"Rp521,45Mlyr.",Norwegia,34,37,157,https://img.a.transfermarkt.technology/portrait/header/661207-1709018293.jpg?lm=1
Erling Haaland,Manchester City,Depan-Tengah,25,"Rp3.128,70Mlyr.",Norwegia,276,58,344,https://img.a.transfermarkt.technology/portrait/header/418560-1709108116.png?lm=1
Omar Marmoush,Manchester City,Depan-Tengah,26,"Rp1.303,62Mlyr.",Mesir,78,36,244,https://img.a.transfermarkt.technology/portrait/header/445939-1747656490.jpg?lm=1
Giorgi Mamardashvili,Liverpool,Kiper,25,"Rp486,69Mlyr.",Georgia,0,0,205,https://img.a.transfermarkt.technology/portrait/header/502676-1716542116.jpg?lm=1
Alisson,Liverpool,Kiper,33,"Rp347,63Mlyr.",Brasil,1,0,472,https://img.a.transfermarkt.technology/portrait/header/105470-1668522221.jpg?lm=1
Freddie Woodman,Liverpool,Kiper,28,"Rp60,84Mlyr.",Inggris,0,0,327,https://img.a.transfermarkt.technology/portrait/header/226049-1737883837.jpg?lm=1
Ibrahima Konaté,Liverpool,Bek-Tengah,26,"Rp955,99Mlyr.",Prancis,10,5,253,https://img.a.transfermarkt.technology/portrait/header/357119-1669190550.jpg?lm=1
Giovanni Leoni,Liverpool,Bek-Tengah,18,"Rp434,54Mlyr.",Italia,2,0,53,https://img.a.transfermarkt.technology/portrait/header/1086619-1751532399.jpg?lm=1
Virgil van Dijk,Liverpool,Bek-Tengah,34,"Rp399,78Mlyr.",Belanda,59,25,595,https://img.a.transfermarkt.technology/portrait/header/139208-1702049837.jpg?lm=1
Joe Gomez,Liverpool,Bek-Tengah,28,"Rp312,87Mlyr.",Inggris,1,11,278,https://img.a.transfermarkt.technology/portrait/header/256178-1746645094.jpg?lm=1
Rhys Williams,Liverpool,Bek-Tengah,24,"Rp12,17Mlyr.",Inggris,15,7,204,https://img.a.transfermarkt.technology/portrait/header/503679-1674491393.jpg?lm=1
Milos Kerkez,Liverpool,Bek-Kiri,21,"Rp782,17Mlyr.",Hungaria,7,21,202,https://img.a.transfermarkt.technology/portrait/header/730861-1660762995.jpg?lm=1
Andrew Robertson,Liverpool,Bek-Kiri,31,"Rp260,72Mlyr.",Skotlandia,24,86,550,https://img.a.transfermarkt.technology/portrait/header/234803-1709147379.jpg?lm=1
Jeremie Frimpong,Liverpool,Bek-Kanan,24,"Rp782,17Mlyr.",Belanda,37,59,317,https://img.a.transfermarkt.technology/portrait/header/484547-1689710682.jpg?lm=1
Conor Bradley,Liverpool,Bek-Kanan,22,"Rp521,45Mlyr.",Irlandia Utara,15,28,182,https://img.a.transfermarkt.technology/portrait/header/624258-1708933100.jpg?lm=1
Ryan Gravenberch,Liverpool,Gel. Bertahan,23,"Rp1.564,35Mlyr.",Belanda,42,41,318,https://img.a.transfermarkt.technology/portrait/header/478573-1718097194.jpg?lm=1
Stefan Bajcetic,Liverpool,Gel. Bertahan,20,"Rp156,43Mlyr.",Spanyol,5,3,91,https://img.a.transfermarkt.technology/portrait/header/864799-1661441233.jpg?lm=1
Wataru Endo,Liverpool,Gel. Bertahan,32,"Rp139,05Mlyr.",Jepang,49,30,520,https://img.a.transfermarkt.technology/portrait/header/146310-1657181542.jpg?lm=1
Alexis Mac Allister,Liverpool,Gel. Tengah,26,"Rp1.738,16Mlyr.",Argentina,48,37,320,https://img.a.transfermarkt.technology/portrait/header/534033-1669835342.jpg?lm=1
